generation,mean_H,ci_lower,ci_upper,mean_F
0,0.65165,0.65165,0.65165,0.34835
1,0.676205,0.676205,0.676205,0.323795
2,0.670168,0.670168,0.670168,0.329832
3,0.664488,0.664488,0.664488,0.335512
4,0.65913,0.65913,0.65913,0.34087
5,0.654059,0.654059,0.654059,0.345941
6,0.64925,0.64925,0.64925,0.35075
7,0.644678,0.644678,0.644678,0.355322
8,0.640322,0.640322,0.640322,0.359678
9,0.636164,0.636164,0.636164,0.363836
10,0.632188,0.632188,0.632188,0.367812
11,0.62838,0.62838,0.62838,0.37162
12,0.624726,0.624726,0.624726,0.375274
13,0.621217,0.621217,0.621217,0.378783
14,0.61784,0.61784,0.61784,0.38216
15,0.614589,0.614589,0.614589,0.385411
16,0.611453,0.611453,0.611453,0.388547
17,0.608426,0.608426,0.608426,0.391574
18,0.605501,0.605501,0.605501,0.394499
19,0.602671,0.602671,0.602671,0.397329
20,0.599932,0.599932,0.599932,0.400068
21,0.597277,0.597277,0.597277,0.402723
22,0.594703,0.594703,0.594703,0.405297
23,0.592204,0.592204,0.592204,0.407796
24,0.589777,0.589777,0.589777,0.410223
25,0.587418,0.587418,0.587418,0.412582
26,0.585123,0.585123,0.585123,0.414877
27,0.58289,0.58289,0.58289,0.41711
28,0.580715,0.580715,0.580715,0.419285
29,0.578596,0.578596,0.578596,0.421404
30,0.576529,0.576529,0.576529,0.423471
31,0.574514,0.574514,0.574514,0.425486
32,0.572546,0.572546,0.572546,0.427454
33,0.570625,0.570625,0.570625,0.429375
34,0.568748,0.568748,0.568748,0.431252
35,0.566913,0.566913,0.566913,0.433087
36,0.565119,0.565119,0.565119,0.434881
37,0.563364,0.563364,0.563364,0.436636
38,0.561646,0.561646,0.561646,0.438354
39,0.559965,0.559965,0.559965,0.440035
40,0.558318,0.558318,0.558318,0.441682
41,0.556704,0.556704,0.556704,0.443296
42,0.555123,0.555123,0.555123,0.444877
43,0.553572,0.553572,0.553572,0.446428
44,0.552051,0.552051,0.552051,0.447949
45,0.550559,0.550559,0.550559,0.449441
46,0.549095,0.549095,0.549095,0.450905
47,0.547658,0.547658,0.547658,0.452342
48,0.546246,0.546246,0.546246,0.453754
49,0.54486,0.54486,0.54486,0.45514
50,0.543498,0.543498,0.543498,0.456502
