gene,mean_dN,mean_dS,omega,lrt_pval,adjusted_pval,selection_signal,significant
gene_01,0.121785,0.058715,4.0342,0.000188,0.003759,True,True
gene_02,0.088242,0.218805,0.6084,1.0,1.0,False,False
gene_03,0.117659,0.071906,2.7238,0.001548,0.015482,True,True
gene_04,0.010669,0.348011,0.0313,1.0,1.0,False,False
gene_05,0.015542,0.32266,0.0384,1.0,1.0,False,False
gene_06,0.026015,0.387136,0.087,1.0,1.0,False,False
gene_07,0.01064,0.201899,0.0691,1.0,1.0,False,False
gene_08,0.010474,0.340835,0.0469,1.0,1.0,False,False
gene_09,0.005375,0.242909,0.0339,1.0,1.0,False,False
gene_10,0.016167,0.168377,0.1528,1.0,1.0,False,False
gene_11,0.016314,0.285314,0.0738,1.0,1.0,False,False
gene_12,0.021388,0.284594,0.076,1.0,1.0,False,False
gene_13,0.020741,0.226025,0.0884,1.0,1.0,False,False
gene_14,0.01067,0.19717,0.0816,1.0,1.0,False,False
gene_15,0.005283,0.22151,0.0241,1.0,1.0,False,False
gene_16,0.016073,0.278666,0.0565,1.0,1.0,False,False
gene_17,0.005172,0.239779,0.017,1.0,1.0,False,False
gene_18,0.048898,0.263117,0.2028,1.0,1.0,False,False
gene_19,0.010372,0.19178,0.0432,1.0,1.0,False,False
gene_20,0.010763,0.242853,0.1056,1.0,1.0,False,False
