element_id,species,CTCF,SP1,NF1,TATA,EBOX,AP1,GATA,ETS
enhancer_01,human,1,0,1,1,1,0,1,0
enhancer_01,mouse,1,1,1,0,1,0,1,0
enhancer_01,zebrafish,1,0,1,1,1,0,1,0
enhancer_01,fruitfly,1,1,1,1,1,1,1,1
promoter_01,human,0,1,1,1,1,1,1,0
promoter_01,mouse,0,1,1,1,1,1,1,0
promoter_01,zebrafish,0,1,1,1,1,1,1,0
promoter_01,fruitfly,1,1,1,0,1,1,1,0
enhancer_02,human,1,1,1,0,1,1,1,1
enhancer_02,mouse,1,1,1,0,1,1,1,1
enhancer_02,zebrafish,1,1,1,1,1,1,1,1
enhancer_02,fruitfly,1,1,1,1,1,1,1,1
silencer_01,human,1,1,0,0,1,1,1,0
silencer_01,mouse,0,0,0,0,1,1,1,0
silencer_01,zebrafish,1,0,1,0,1,1,1,1
silencer_01,fruitfly,1,0,1,1,1,0,1,0
enhancer_03,human,1,1,1,1,1,1,1,1
enhancer_03,mouse,1,1,1,1,1,1,1,0
enhancer_03,zebrafish,1,1,1,1,1,1,1,1
enhancer_03,fruitfly,1,1,1,1,1,1,1,1
promoter_02,human,1,1,1,0,1,1,1,1
promoter_02,mouse,1,1,1,0,1,0,1,1
promoter_02,zebrafish,1,1,1,0,1,0,1,1
promoter_02,fruitfly,1,1,1,0,1,1,1,1
insulator_01,human,1,1,1,1,1,1,1,0
insulator_01,mouse,1,1,1,0,1,1,1,0
insulator_01,zebrafish,0,1,1,0,1,1,1,1
insulator_01,fruitfly,1,1,1,1,1,1,1,1
enhancer_04,human,1,1,1,1,1,1,1,0
enhancer_04,mouse,1,0,1,0,1,1,0,0
enhancer_04,zebrafish,1,0,1,0,1,1,1,0
enhancer_04,fruitfly,1,1,1,1,1,0,1,1
promoter_03,human,0,1,1,1,1,1,1,1
promoter_03,mouse,0,1,1,1,1,1,1,1
promoter_03,zebrafish,0,1,1,1,1,1,1,0
promoter_03,fruitfly,0,1,1,1,1,1,1,1
enhancer_05,human,1,1,1,0,1,1,1,1
enhancer_05,mouse,1,1,1,0,1,1,1,1
enhancer_05,zebrafish,1,1,0,1,1,1,1,0
enhancer_05,fruitfly,1,0,1,1,1,1,1,1
silencer_02,human,0,1,1,1,1,1,1,0
silencer_02,mouse,1,0,1,1,1,1,1,0
silencer_02,zebrafish,1,0,1,0,1,1,0,1
silencer_02,fruitfly,1,1,1,1,1,1,1,1
enhancer_06,human,1,1,1,1,1,1,1,0
enhancer_06,mouse,1,1,1,1,1,1,1,1
enhancer_06,zebrafish,1,0,1,1,1,1,1,0
enhancer_06,fruitfly,1,1,1,0,1,1,1,1
