chrom,start,end,family,ltr_type,kmer_hits,has_poly_a,longest_orf_bp,gc_content,score_orf,score_ltr,score_gc,risk_score,risk_tier,age_mya
chr1,0,5000,HERV-H,full,5,True,189,0.4942,0,3,2,5,moderate,0.79
chr2,5000,10000,HERV-K,full,5,True,261,0.491,0,3,2,5,moderate,11.06
chr4,2500,7500,HERV-H,full,5,True,252,0.4842,0,3,2,5,moderate,7.49
chr2,0,5000,HERV-K,full,5,True,258,0.4956,0,3,2,5,moderate,1.19
chr3,2500,7500,HERV-K,full,5,True,261,0.5122,0,3,2,5,moderate,2.72
chr2,7500,12500,HERV-K,full,5,True,261,0.4954,0,3,2,5,moderate,12.23
chr4,5000,10000,HERV-H,full,5,True,252,0.497,0,3,2,5,moderate,6.95
chr5,2500,7500,HERV-H,partial,5,True,585,0.5018,1,1,2,4,moderate,29.15
chr1,10000,15000,HERV-E,partial,5,True,363,0.5038,1,1,2,4,moderate,33.48
chr4,10000,15000,HERV-L,partial,4,True,381,0.4946,1,1,2,4,moderate,22.09
chr4,7500,12500,HERV-K,partial,3,True,381,0.5006,1,1,2,4,moderate,21.77
chr5,15000,20000,HERV-K,partial,4,True,411,0.4958,1,1,2,4,moderate,20.72
chr5,12500,17500,HERV-L,partial,4,True,327,0.5004,1,1,2,4,moderate,29.34
chr5,10000,15000,HERV-K,partial,3,True,327,0.4996,1,1,2,4,moderate,30.89
chr5,17500,20000,HERV-K,partial,4,True,411,0.4928,1,1,2,4,moderate,19.98
chr1,2500,7500,HERV-W,partial,3,False,201,0.4922,0,1,2,3,moderate,29.98
chr1,12500,17500,HERV-H,solo,3,False,363,0.4948,1,0,2,3,moderate,43.4
chr1,7500,12500,HERV-H,partial,5,True,168,0.498,0,1,2,3,moderate,14.88
chr1,5000,10000,HERV-K,partial,3,False,201,0.4848,0,1,2,3,moderate,18.48
chr4,12500,17500,HERV-H,solo,4,True,408,0.5,1,0,2,3,moderate,59.18
chr3,15000,20000,HERV-E,partial,4,True,237,0.4956,0,1,2,3,moderate,15.13
chr3,12500,17500,HERV-E,partial,4,True,222,0.5042,0,1,2,3,moderate,15.69
chr2,12500,17500,HERV-H,solo,3,False,396,0.5004,1,0,2,3,moderate,58.8
chr3,0,5000,HERV-H,partial,5,True,249,0.4944,0,1,2,3,moderate,13.09
chr2,2500,7500,HERV-K,partial,3,False,222,0.4908,0,1,2,3,moderate,21.77
chr3,5000,10000,HERV-K,partial,4,True,261,0.5036,0,1,2,3,moderate,24.93
chr4,15000,20000,HERV-H,solo,4,True,408,0.504,1,0,2,3,moderate,77.25
chr5,0,5000,HERV-H,partial,5,True,255,0.493,0,1,2,3,moderate,20.95
chr5,5000,10000,HERV-H,solo,3,False,585,0.5004,1,0,2,3,moderate,54.44
chr1,15000,20000,HERV-H,solo,3,False,210,0.4936,0,0,2,2,low,80.4
chr3,10000,15000,HERV-K,solo,3,True,276,0.505,0,0,2,2,low,73.7
chr3,7500,12500,HERV-K,solo,3,True,276,0.4938,0,0,2,2,low,75.93
chr2,10000,15000,HERV-H,solo,3,True,255,0.504,0,0,2,2,low,47.88
chr5,7500,12500,HERV-H,solo,4,True,243,0.4972,0,0,2,2,low,56.58
