locus_name,chrom,start,end,gene_density_score,regulatory_score,repeat_score,complexity_score,total_score
locus_A,chr1,500,1500,0,0,0,0,0
locus_A,chr1,700,1700,0,0,0,0,0
locus_A,chr1,900,1900,0,0,0,0,0
locus_A,chr1,1100,2100,0,0,0,0,0
locus_A,chr1,1300,2300,0,0,0,0,0
locus_A,chr1,1500,2500,0,0,0,0,0
locus_A,chr1,1700,2700,0,0,0,0,0
locus_A,chr1,1900,2900,0,0,0,0,0
locus_A,chr1,2100,3100,0,0,0,0,0
locus_A,chr1,2300,3300,0,0,0,0,0
locus_A,chr1,2500,3500,0,0,0,0,0
locus_A,chr1,2700,3700,0,0,0,0,0
locus_A,chr1,2900,3900,0,0,0,0,0
locus_A,chr1,3100,4100,0,0,0,0,0
locus_A,chr1,3300,4300,0,0,0,0,0
locus_A,chr1,3500,4500,0,0,0,0,0
locus_A,chr1,3700,4700,0,0,0,0,0
locus_A,chr1,3900,4900,0,0,0,0,0
locus_A,chr1,4100,5100,0,0,0,0,0
locus_A,chr1,4300,5300,0,0,0,0,0
locus_A,chr1,4500,5500,0,0,0,0,0
locus_A,chr1,4700,5700,0,0,0,0,0
locus_A,chr1,4900,5900,0,0,0,0,0
locus_A,chr1,5100,6100,0,0,0,0,0
locus_A,chr1,5300,6300,0,0,0,0,0
locus_A,chr1,5500,6500,0,0,0,0,0
locus_A,chr1,5700,6700,0,0,0,0,0
locus_A,chr1,5900,6900,0,0,0,0,0
locus_A,chr1,6100,7100,0,0,0,0,0
locus_A,chr1,6300,7300,0,0,0,0,0
locus_A,chr1,6500,7500,0,0,0,0,0
locus_A,chr1,6700,7700,0,0,0,0,0
locus_A,chr1,6900,7900,0,0,0,0,0
locus_A,chr1,7100,8100,0,0,0,0,0
locus_A,chr1,7300,8300,0,0,0,0,0
locus_A,chr1,7500,8500,0,0,0,0,0
locus_A,chr1,7700,8700,0,0,0,0,0
locus_A,chr1,7900,8900,0,0,0,0,0
locus_A,chr1,8100,9100,0,0,0,0,0
locus_A,chr1,8300,9300,0,0,0,0,0
locus_A,chr1,8500,9500,0,0,0,0,0
locus_A,chr1,8700,9700,0,0,0,0,0
locus_A,chr1,8900,9900,0,0,0,0,0
locus_A,chr1,9100,10100,0,0,0,0,0
locus_A,chr1,9300,10300,0,0,0,0,0
locus_A,chr1,9500,10500,0,0,0,0,0
locus_A,chr1,9700,10700,0,0,0,0,0
locus_A,chr1,9900,10900,0,0,0,0,0
locus_A,chr1,10100,11100,0,0,0,0,0
locus_A,chr1,10300,11300,0,0,0,0,0
locus_A,chr1,10500,11500,0,0,0,0,0
locus_A,chr1,10700,11700,0,0,0,0,0
locus_A,chr1,10900,11900,0,0,0,0,0
locus_A,chr1,11100,12100,0,0,0,0,0
locus_A,chr1,11300,12300,0,0,0,0,0
locus_A,chr1,11500,12500,0,0,0,0,0
locus_A,chr1,11700,12700,0,0,0,0,0
locus_A,chr1,11900,12900,0,0,0,0,0
locus_A,chr1,12100,13100,0,0,0,0,0
locus_A,chr1,12300,13300,0,0,0,0,0
locus_A,chr1,12500,13500,0,0,0,0,0
locus_A,chr1,12700,13700,0,0,0,0,0
locus_A,chr1,12900,13900,0,0,0,0,0
locus_A,chr1,13100,14100,0,0,0,0,0
locus_A,chr1,13300,14300,0,0,0,0,0
locus_A,chr1,13500,14500,0,0,0,0,0
locus_A,chr1,13700,14700,0,0,0,0,0
locus_A,chr1,13900,14900,0,0,0,0,0
locus_A,chr1,14100,15100,0,0,0,0,0
locus_A,chr1,14300,15300,0,0,0,0,0
locus_A,chr1,14500,15500,0,0,0,0,0
locus_A,chr1,14700,15700,0,0,0,0,0
locus_A,chr1,14900,15900,0,0,0,0,0
locus_A,chr1,15100,16100,0,0,0,0,0
locus_A,chr1,15300,16300,0,0,0,0,0
locus_A,chr1,15500,16500,0,0,0,0,0
locus_A,chr1,15700,16700,0,0,0,0,0
locus_A,chr1,15900,16900,0,0,0,0,0
locus_A,chr1,16100,17100,0,0,0,0,0
locus_A,chr1,16300,17300,0,0,0,0,0
locus_A,chr1,16500,17500,0,0,0,0,0
locus_A,chr1,16700,17700,0,0,0,0,0
locus_A,chr1,16900,17900,0,0,0,0,0
locus_A,chr1,17100,18100,0,0,0,0,0
locus_A,chr1,17300,18300,0,0,0,0,0
locus_A,chr1,17500,18500,0,0,0,0,0
locus_A,chr1,17700,18700,0,0,0,0,0
locus_A,chr1,17900,18900,0,0,0,0,0
locus_A,chr1,18100,19100,0,0,0,0,0
locus_A,chr1,18300,19300,0,0,0,0,0
locus_A,chr1,18500,19500,0,0,0,0,0
locus_A,chr1,18700,19700,0,0,0,0,0
locus_A,chr1,18900,19900,0,0,0,0,0
locus_A,chr1,19100,20100,0,0,0,0,0
locus_A,chr1,19300,20300,0,0,0,0,0
locus_A,chr1,19500,20500,0,0,0,0,0
locus_A,chr1,19700,20700,0,0,0,0,0
locus_A,chr1,19900,20900,0,0,0,0,0
locus_A,chr1,20100,21100,0,0,0,0,0
locus_A,chr1,20300,21300,0,0,0,0,0
locus_A,chr1,20500,21500,0,0,0,0,0
locus_A,chr1,20700,21700,0,0,0,0,0
locus_A,chr1,20900,21900,0,0,0,0,0
locus_A,chr1,21100,22100,0,0,0,0,0
